Fecha;Variacion mensual (%);Variacion interanual (%);Variacion acumulada (%)/n3
1/1/2022;0,37;3,5;0,37
1/2/2022;1,09;4,9;1,47
1/3/2022;0,88;5,79;2,36
1/4/2022;1,58;7,15;3,98
1/5/2022;1,44;8,71;5,48
1/6/2022;1,78;10,06;7,35
1/7/2022;1,09;11,48;8,52
1/8/2022;0,86;12,13;9,45
1/9/2022;-0,95;10,37;8,41
1/10/2022;-0,76;8,99;7,58
1/11/2022;0,14;8,26;7,73
1/12/2022;0,13;7,88;7,88
1/1/2023;0,16;7,65;0,16
1/2/2023;-0,85;5,58;-0,69
1/3/2023;-0,23;4,42;-0,92
1/4/2023;-0,34;2,44;-1,26
1/5/2023;-0,11;0,88;-1,36
1/6/2023;-0,16;-1,04;-1,52
1/7/2023;-0,19;-2,29;-1,7
1/8/2023;-0,16;-3,28;-1,87
1/9/2023;0,11;-2,24;-1,75
1/10/2023;0,21;-1,28;-1,55
1/11/2023;-0,23;-1,64;-1,77
1/12/2023;0,01;-1,77;-1,77
